Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.621
5.000 90.109 0.621
10.000 90.435 0.610
15.000 90.976 0.601
20.000 91.728 0.607
25.000 92.685 0.629
30.000 93.841 0.677
35.000 95.188 0.735
40.000 96.718 0.789
45.000 98.421 0.842
50.000 100.289 0.855
55.000 102.311 0.846
60.000 104.478 0.782
65.000 106.780 0.673
70.000 109.207 0.518
75.000 111.752 0.340
80.000 114.404 0.170
85.000 117.156 0.220
90.000 120.000 0.423
95.000 122.928 0.609
100.000 125.932 0.806
105.000 129.007 0.953
110.000 132.145 1.018
115.000 135.342 1.013
120.000 138.590 0.974
125.000 141.886 0.849
130.000 145.225 0.653
135.000 148.600 0.394
140.000 152.009 0.230
145.000 155.447 0.424
150.000 158.909 0.786
155.000 162.393 1.146
160.000 165.894 1.451
165.000 169.409 1.744
170.000 172.933 1.979
175.000 176.465 2.117
180.000 180.000 2.143
